"","gen","A1A1","A1A2","A2A2"
"2958",2958,105211.663212602,40827.5400958118,3960.79669158643
"2959",2959,105177.483915163,40855.0844149964,3967.43166984012
"2960",2960,105143.287126251,40882.6361928679,3974.07668088089
"2961",2961,105109.072850883,40910.1954119554,3980.73173716114
"2962",2962,105074.841094105,40937.7620547527,3987.39685114207
"2963",2963,105040.591860988,40965.3361037188,3994.07203529362
"2964",2964,105006.325156628,40992.9175412773,4000.75730209451
"2965",2965,104972.040986151,41020.5063498171,4007.45266403219
"2966",2966,104937.739354705,41048.1025116917,4014.15813360286
"2967",2967,104903.420267469,41075.7060092197,4020.87372331143
"2968",2968,104869.083729644,41103.3168246843,4027.59944567152
"2969",2969,104834.729746461,41130.934940334,4034.33531320546
"2970",2970,104800.358323174,41158.5603383817,4041.08133844428
"2971",2971,104765.969465067,41186.1930010054,4047.83753392766
"2972",2972,104731.563177448,41213.8329103479,4054.60391220397
"2973",2973,104697.139465653,41241.4800485167,4061.38048583023
"2974",2974,104662.698335044,41269.1343975841,4068.1672673721
"2975",2975,104628.239791009,41296.7959395875,4074.96426940389
"2976",2976,104593.763838963,41324.4646565286,4081.77150450851
"2977",2977,104559.270484348,41352.1405303743,4088.58898527749
"2978",2978,104524.759732633,41379.8235430559,4095.41672431096
"2979",2979,104490.231589313,41407.5136764696,4102.25473421763
"2980",2980,104455.686059909,41435.2109124765,4109.1030276148
"2981",2981,104421.12314997,41462.915232902,4115.96161712832
"2982",2982,104386.542865071,41490.6266195366,4122.83051539259
"2983",2983,104351.945210814,41518.3450541354,4129.70973505056
"2984",2984,104317.330192828,41546.0705184179,4136.5992887537
"2985",2985,104282.697816769,41573.8029940687,4143.49918916199
"2986",2986,104248.048088319,41601.5424627368,4150.40944894394
"2987",2987,104213.381013188,41629.2889060358,4157.33008077651
"2988",2988,104178.696597111,41657.0423055442,4164.26109734518
"2989",2989,104143.994845851,41684.8026428049,4171.20251134387
"2990",2990,104109.2757652,41712.5698993254,4178.15433547496
"2991",2991,104074.539360973,41740.3440565781,4185.11658244929
"2992",2992,104039.785639014,41768.1250959996,4192.08926498611
"2993",2993,104005.014605196,41795.9129989913,4199.07239581308
"2994",2994,103970.226265414,41823.7077469193,4206.0659876663
"2995",2995,103935.420625596,41851.5093211139,4213.07005329023
"2996",2996,103900.597691692,41879.3177028704,4220.08460543773
"2997",2997,103865.757469682,41907.1328734482,4227.10965687
"2998",2998,103830.899965572,41934.9548140715,4234.14522035663
"2999",2999,103796.025185396,41962.783505929,4241.19130867553
"3000",3000,103761.133135213,41990.6189301738,4248.24793461294
"3001",3001,103726.223821113,42018.4610679238,4255.31511096343
"3002",3002,103691.297249209,42046.3099002609,4262.39285052985
"3003",3003,103656.353425645,42074.165408232,4269.48116612336
"3004",3004,103621.392356589,42102.0275728481,4276.58007056338
"3005",3005,103586.414048238,42129.8963750848,4283.68957667761
"3006",3006,103551.418506816,42157.7717958823,4290.809697302
"3007",3007,103516.405738574,42185.6538161451,4297.94044528073
"3008",3008,103481.375749792,42213.542416742,4305.0818334662
"3009",3009,103446.328546774,42241.4375785065,4312.23387471903
"3010",3010,103411.264135856,42269.3392822364,4319.39658190803
"3011",3011,103376.182523396,42297.2475086939,4326.5699679102
"3012",3012,103341.083715784,42325.1622386056,4333.7540456107
"3013",3013,103305.967719434,42353.0834526626,4340.94882790288
"3014",3014,103270.834540791,42381.0111315203,4348.15432768818
"3015",3015,103235.684186325,42408.9452557985,4355.37055787622
"3016",3016,103200.516662534,42436.8858060813,4362.5975313847
"3017",3017,103165.331975943,42464.8327629173,4369.83526113944
"3018",3018,103130.130133106,42492.7861068193,4377.08376007434
"3019",3019,103094.911140604,42520.7458182646,4384.34304113139
"3020",3020,103059.675005045,42548.7118776947,4391.61311726061
"3021",3021,103024.421733064,42576.6842655156,4398.8940014201
"3022",3022,102989.151331327,42604.6629620975,4406.18570657598
"3023",3023,102953.863806523,42632.647947775,4413.48824570237
"3024",3024,102918.559165372,42660.6392028468,4420.80163178141
"3025",3025,102883.237414621,42688.6367075762,4428.12587780324
"3026",3026,102847.898561043,42716.6404421907,4435.46099676596
"3027",3027,102812.542611442,42744.6503868819,4442.80700167563
"3028",3028,102777.169572648,42772.6665218059,4450.16390554626
"3029",3029,102741.779451517,42800.6888270831,4457.53172139979
"3030",3030,102706.372254936,42828.717282798,4464.91046226609
"3031",3031,102670.947989818,42856.7518689994,4472.30014118292
"3032",3032,102635.506663104,42884.7925657005,4479.70077119593
"3033",3033,102600.048281763,42912.8393528786,4487.11236535863
"3034",3034,102564.572852792,42940.8922104752,4494.53493673242
"3035",3035,102529.080383217,42968.9511183963,4501.96849838653
"3036",3036,102493.57088009,42997.0160565119,4509.413063398
"3037",3037,102458.044350492,43025.0870046563,4516.8686448517
"3038",3038,102422.500801532,43053.163942628,4524.33525584031
"3039",3039,102386.940240346,43081.2468501898,4531.81290946427
"3040",3040,102351.3626741,43109.3357070685,4539.30161883182
"3041",3041,102315.768109986,43137.4304929553,4546.80139705891
"3042",3042,102280.156555225,43165.5311875057,4554.31225726926
"3043",3043,102244.528017067,43193.637770339,4561.83421259431
"3044",3044,102208.882502788,43221.750221039,4569.36727617321
"3045",3045,102173.220019694,43249.8685191537,4576.91146115277
"3046",3046,102137.540575117,43277.992644195,4584.46678068753
"3047",3047,102101.844176421,43306.1225756394,4592.03324793964
"3048",3048,102066.130830994,43334.2582929272,4599.61087607892
"3049",3049,102030.400546254,43362.3997754631,4607.19967828283
"3050",3050,101994.653329648,43390.5470026157,4614.79966773643
"3051",3051,101958.88918865,43418.6999537181,4622.41085763237
"3052",3052,101923.108130762,43446.8586080672,4630.0332611709
"3053",3053,101887.310163516,43475.0229449243,4637.66689155982
"3054",3054,101851.495294471,43503.1929435148,4645.3117620145
"3055",3055,101815.663531214,43531.3685830282,4652.96788575782
"3056",3056,101779.814881362,43559.549842618,4660.63527602021
"3057",3057,101743.949352558,43587.7367014022,4668.31394603958
"3058",3058,101708.066952476,43615.9291384626,4676.00390906131
"3059",3059,101672.167688816,43644.1271328452,4683.7051783383
"3060",3060,101636.251569309,43672.3306635603,4691.41776713085
"3061",3061,101600.318601711,43700.539709582,4699.14168870674
"3062",3062,101564.36879381,43728.7542498488,4706.87695634113
"3063",3063,101528.40215342,43756.9742632632,4714.62358331663
"3064",3064,101492.418688385,43785.1997286918,4722.38158292319
"3065",3065,101456.418406576,43813.4306249654,4730.15096845817
"3066",3066,101420.401315895,43841.6669308789,4737.93175322627
"3067",3067,101384.367424269,43869.908625191,4745.72395053951
"3068",3068,101348.316739658,43898.1556866251,4753.52757371726
"3069",3069,101312.249270046,43926.408093868,4761.34263608617
"3070",3070,101276.165023449,43954.6658255713,4769.1691509802
"3071",3071,101240.064007909,43982.92886035,4777.00713174055
"3072",3072,101203.9462315,44011.1971767839,4784.85659171571
"3073",3073,101167.811702322,44039.4707534162,4792.71754426137
"3074",3074,101131.660428505,44067.7495687548,4800.59000274046
"3075",3075,101095.492418206,44096.0336012713,4808.4739805231
"3076",3076,101059.307679612,44124.3228294015,4816.36949098661
"3077",3077,101023.106220939,44152.6172315454,4824.27654751546
"3078",3078,100986.888050432,44180.9167860669,4832.19516350127
"3079",3079,100950.653176363,44209.221471294,4840.1253523428
"3080",3080,100914.401607035,44237.531265519,4848.06712744593
"3081",3081,100878.133350778,44265.8461469981,4856.02050222362
"3082",3082,100841.848415952,44294.1660939516,4863.98549009591
"3083",3083,100805.546810946,44322.491084564,4871.96210448992
"3084",3084,100769.228544177,44350.8210969837,4879.95035883979
"3085",3085,100732.89362409,44379.1561093233,4887.9502665867
"3086",3086,100696.542059162,44407.4960996594,4895.96184117884
"3087",3087,100660.173857896,44435.8410460329,4903.98509607138
"3088",3088,100623.789028825,44464.1909264485,4912.02004472647
"3089",3089,100587.387580512,44492.5457188751,4920.0667006132
"3090",3090,100550.969521547,44520.9054012459,4928.1250772076
"3091",3091,100514.53486055,44549.2699514577,4936.19518799264
"3092",3092,100478.08360617,44577.6393473719,4944.27704645815
"3093",3093,100441.615767086,44606.0135668136,4952.37066610088
"3094",3094,100405.131352003,44634.3925875722,4960.4760604244
"3095",3095,100368.63036966,44662.7763874012,4968.59324293917
"3096",3096,100332.11282882,44691.164944018,4976.72222716243
"3097",3097,100295.578738278,44719.5582351042,4984.86302661826
"3098",3098,100259.028106857,44747.9562383057,4993.01565483751
"3099",3099,100222.46094341,44776.3589312321,5001.18012535781
"3100",3100,100185.877256819,44804.7662914574,5009.35645172353
"3101",3101,100149.277055995,44833.1782965195,5017.54464748577
"3102",3102,100112.660349877,44861.5949239205,5025.74472620236
"3103",3103,100076.027147435,44890.0161511267,5033.9567014378
"3104",3104,100039.377457668,44918.4419555683,5042.18058676329
"3105",3105,100002.711289604,44946.8723146398,5050.41639575666
"3106",3106,99966.028652298,44975.3072056996,5058.6641420024
"3107",3107,99929.329554838,45003.7466060704,5066.92383909159
